Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
172,136,129,121,0,0,125,123,FF,
174,136,123,114,-6,-7,125,123,FF,
174,140,124,124,1,10,125,123,FF,
175,147,128,128,4,4,125,123,FF,
175,159,124,129,-4,1,125,123,FF,
174,163,122,119,-2,-10,121,131,FF,
172,174,119,126,-3,7,121,131,FF,
173,175,125,131,6,5,121,131,FF,
173,178,122,140,-3,9,121,131,FF,
172,176,118,139,-4,-1,121,131,FF,
171,175,115,141,-3,2,105,138,FF,
168,178,112,140,-3,-1,105,138,FF,
169,176,100,139,-12,-1,105,138,FF,
171,176,107,139,7,0,105,138,FF,
164,175,94,131,-13,-8,105,138,FF,
153,177,83,126,-11,-5,87,128,FF,
142,176,98,121,15,-5,87,128,FF,
136,177,85,127,-13,6,87,128,FF,
134,176,77,137,-8,10,87,128,FF,
135,177,93,133,16,-4,87,128,FF,
133,177,104,122,11,-11,104,112,FF,
144,178,97,114,-7,-8,104,112,FF,
142,175,104,108,7,-6,104,112,FF,
149,174,111,112,7,4,104,112,FF,
151,175,106,105,-5,-7,104,112,FF,
156,176,115,110,9,5,123,116,FF,
164,174,119,114,4,4,123,116,FF,
173,172,123,118,4,4,123,116,FF,
174,172,128,121,5,3,123,116,FF,
172,173,131,120,3,-1,123,116,FF,
174,173,135,107,4,-13,133,102,HS,
177,177,134,96,-1,-11,133,102,HS,
175,172,134,105,0,9,133,102,HS,
171,164,133,111,-1,6,133,102,HS,
176,155,133,93,0,-18,133,102,HS,
172,141,131,80,-2,-13,128,71,FF,
178,125,130,69,-1,-11,128,71,FF,
174,122,121,64,-9,-5,128,71,FF,
176,123,125,59,4,-5,128,71,FF,
176,125,133,84,8,25,128,71,FF,
176,135,120,92,-13,8,120,99,FF,
176,137,112,99,-8,7,120,99,FF,
177,148,118,93,6,-6,120,99,FF,
177,152,128,102,10,9,120,99,FF,
175,160,126,111,-2,9,120,99,FF,
173,165,124,119,-2,8,120,127,FF,
172,175,119,125,-5,6,120,127,FF,
172,177,123,130,4,5,120,127,FF,
172,177,127,134,4,4,120,127,FF,
172,174,111,131,-16,-3,120,127,FF,
173,173,116,135,5,4,111,132,FF,
173,178,111,136,-5,1,111,132,FF,
171,175,115,131,4,-5,111,132,FF,
162,173,119,129,4,-2,111,132,FF,
150,178,98,129,-21,0,111,132,FF,
138,178,83,129,-15,0,74,129,TO,
133,179,74,130,-9,1,74,129,TO,
129,179,69,128,-5,-2,74,129,TO,
127,179,64,127,-5,-1,74,129,TO,
131,176,80,133,16,6,74,129,TO,
138,174,86,133,6,0,97,123,FF,
141,170,96,121,10,-12,97,123,FF,
150,170,92,124,-4,3,97,123,FF,
159,170,103,118,11,-6,97,123,FF,
161,170,110,121,7,3,97,123,FF,
170,169,115,110,5,-11,124,96,FF,
176,169,121,103,6,-7,124,96,FF,
176,167,127,98,6,-5,124,96,FF,
175,167,129,89,2,-9,124,96,FF,
173,169,128,83,-1,-6,124,96,FF,
175,169,131,83,3,0,126,72,FF,
173,172,127,78,-4,-5,126,72,FF,
173,161,125,73,-2,-5,126,72,FF,
169,145,123,67,-2,-6,126,72,FF,
175,132,126,62,3,-5,126,72,FF,
168,129,127,52,1,-10,123,64,FF,
167,126,125,56,-2,4,123,64,FF,
170,127,124,62,-1,6,123,64,FF,
174,132,123,68,-1,6,123,64,FF,
178,135,120,84,-3,16,123,64,FF,
178,136,120,90,0,6,118,106,FF,
176,153,118,102,-2,12,118,106,FF,
175,156,118,106,0,4,118,106,FF,
175,168,118,113,0,7,118,106,FF,
173,171,119,119,1,6,118,106,FF,
173,175,118,124,-1,5,112,122,FF,
174,177,116,126,-2,2,112,122,FF,
174,175,116,124,0,-2,112,122,FF,
174,173,110,119,-6,-5,112,122,FF,
174,174,102,119,-8,0,112,122,FF,
173,175,95,115,-7,-4,85,110,FF,
169,174,100,112,5,-3,85,110,FF,
153,175,86,111,-14,-1,85,110,FF,
149,173,76,109,-10,-2,85,110,FF,
139,173,69,107,-7,-2,85,110,FF,
134,171,92,100,23,-7,96,96,FF,
124,171,106,98,14,-2,96,96,FF,
123,170,89,95,-17,-3,96,96,FF,
122,169,104,90,15,-5,96,96,FF,
118,163,90,98,-14,8,96,96,FF,
